old_index,beds,longitude,latitude,mean_neighbor_price
14303,3,-122.43661,37.789047,1570833.333
14305,4,-122.4366,37.76857,2571666.667
14306,3,-122.43659,37.793106,4203333.333
14307,6,-122.43659,37.798855,2814333.333
14308,2,-122.43658,37.711445,492266.6667
14309,2,-122.43658,37.711456,492266.6667
14310,1,-122.43658,37.747147,770666.6667
14311,2,-122.43658,37.747147,1288333.333
14313,5,-122.43658,37.747147,4810666.667
14314,6,-122.43658,37.794136,4008333.333
14315,3,-122.43657,37.73585,1134000
14316,3,-122.43657,37.73585,1134000
14317,1,-122.43656,37.72946,487333.3333
14318,2,-122.43656,37.744705,1273333.333
14319,3,-122.43656,37.768127,1683333.333
14320,4,-122.43656,37.768127,2973333.333
14321,2,-122.436554,37.715176,609833.3333
14322,4,-122.436554,37.73445,2058333.333
14323,3,-122.436554,37.75392,1910000
14325,4,-122.43655,37.753693,1305000
14326,4,-122.43654,37.71813,757643
14327,3,-122.43654,37.723232,600000
14328,3,-122.43654,37.746334,1616666.667
14330,3,-122.43654,37.753605,1815000
14332,4,-122.43654,37.777206,2316666.667
14333,4,-122.43653,37.744717,1618333.333
14334,3,-122.43653,37.745514,2098333.333
14335,3,-122.43653,37.745514,2098333.333
14337,3,-122.43652,37.753426,1835000
14338,2,-122.43652,37.798386,1376666.667
14339,2,-122.436516,37.71217,747000
14340,4,-122.436516,37.734528,1803333.333
14341,4,-122.436516,37.734528,1803333.333
14342,4,-122.436516,37.734528,1803333.333
14343,2,-122.43651,37.71815,475000
14344,2,-122.43651,37.727734,853755.3333
14345,3,-122.43651,37.75329,1835000
14346,5,-122.43651,37.753426,2712500
14347,3,-122.43651,37.7675,1683333.333
14348,3,-122.4365,37.74794,1680000
14349,3,-122.4365,37.74794,1680000
14350,4,-122.4365,37.74794,3415000
14352,2,-122.43649,37.71145,673933.3333
14353,2,-122.43649,37.71145,673933.3333
14354,2,-122.436485,37.712177,747000
14355,2,-122.436485,37.75315,1411666.667
14356,3,-122.43648,37.727787,1085000
14357,2,-122.43648,37.7364,1008333.333
14359,2,-122.43647,37.718204,475000
14360,4,-122.43647,37.72599,846666.6667
14361,2,-122.43646,37.74551,1366666.667
14362,4,-122.43646,37.745518,2807000
14363,4,-122.43646,37.745518,2807000
14364,2,-122.436455,37.735836,915333.3333
14365,3,-122.436455,37.735836,1030000
14366,4,-122.436455,37.793465,4650000
14367,4,-122.436455,37.79353,4650000
14368,3,-122.43645,37.72784,1085000
14369,3,-122.43645,37.793415,4535808.333
14370,4,-122.43643,37.752575,3446666.667
14371,4,-122.43643,37.752575,3446666.667
14373,6,-122.436424,37.71972,917000
14374,2,-122.436424,37.726967,679333.3333
14375,2,-122.436424,37.729343,661333.3333
14376,4,-122.436424,37.752407,3446666.667
14377,3,-122.43642,37.71971,644166.6667
14378,3,-122.43642,37.71971,644166.6667
14379,4,-122.43642,37.723186,1020033
14380,3,-122.43642,37.72453,736333.3333
14381,4,-122.43642,37.786636,1936666.667
14382,3,-122.43642,37.786636,2433333.333
14383,4,-122.43642,37.786636,1936666.667
14384,4,-122.4364,37.788574,4098000
14385,3,-122.43639,37.713913,739333.3333
14386,2,-122.43639,37.7154,609833.3333
14387,2,-122.43639,37.715424,609833.3333
14389,2,-122.436386,37.72615,630000
14390,2,-122.436386,37.72792,853755.3333
14391,2,-122.436386,37.745514,1366666.667
14392,4,-122.436386,37.745514,2807000
14394,2,-122.436386,37.74634,986666.6667
14395,3,-122.436386,37.74634,1916666.667
14396,4,-122.436386,37.747147,1873333.333
14397,3,-122.436386,37.76339,1325000
14398,4,-122.43638,37.79507,3357833.333
14399,2,-122.43637,37.724518,508666.6667
14400,2,-122.43636,37.711433,767666.6667
14401,3,-122.43636,37.71837,871666.6667
14402,3,-122.43636,37.751743,1335000
14403,5,-122.43636,37.792248,6135666.667
