old_index,sf,longitude,latitude,mean_hood_ppsf
76,1000,-122.50812,37.75658,574.3333333
77,1052.683672,-122.50812,37.75658,545.5896663
78,1000,-122.50812,37.75658,574.3333333
79,920,-122.50811,37.761055,1006.521739
80,1930,-122.5081,37.776398,519.8618307
81,1025,-122.508095,37.750313,957.0731707
82,1160,-122.508064,37.756584,491.954023
83,2260,-122.50804,37.77558,526.6961652
84,1145,-122.50803,37.775486,656.768559
85,800,-122.508026,37.75967,1020
86,1036,-122.50802,37.759766,647.6833977
87,2000,-122.50801,37.774982,644.3333333
88,2290,-122.507996,37.754715,604.0756914
89,1334,-122.507996,37.774982,587.7061469
90,2060,-122.50799,37.774788,516.9902913
91,4520,-122.50798,37.749485,468.6578171
92,1760,-122.50798,37.774532,590.4450758
93,1168,-122.507965,37.758934,866.152968
94,1168,-122.507965,37.759,866.152968
95,2590,-122.50796,37.774277,509.2664093
96,921,-122.50793,37.75472,868.6210641
97,2080,-122.50793,37.77405,512.0192308
98,1475,-122.50792,37.773926,427.3446328
99,1410,-122.50791,37.773796,447.0449173
100,1373,-122.50789,37.75659,522.2141296
101,1320,-122.50788,37.75784,385.8585859
103,1275,-122.50786,37.757454,399.4771242
104,1450,-122.50785,37.75736,419.7701149
105,1195,-122.50785,37.75739,448.5355649
106,1580,-122.50784,37.772697,656.1181435
107,1960,-122.507835,37.77273,604.4217687
108,1080,-122.507805,37.772316,551.6975309
109,1080,-122.5078,37.756355,495.3703704
110,1554,-122.50778,37.771835,535.1780352
111,1694,-122.507774,37.771774,545.0609996
112,903,-122.50776,37.755875,708.7486157
113,1035,-122.50776,37.75607,481.8035427
114,1759,-122.50775,37.754726,437.7487209
115,1758,-122.50775,37.75594,414.2965491
116,1011,-122.507744,37.747684,544.0158259
117,697,-122.507744,37.75559,983.7398374
118,697,-122.507744,37.75559,983.7398374
119,1353,-122.507744,37.755875,683.1731954
120,1175,-122.50773,37.755653,526.2411348
122,1418,-122.50771,37.755363,618.9468735
123,1880,-122.50771,37.764046,423.7588652
124,1640,-122.50769,37.755108,466.4634146
125,1290,-122.50766,37.754585,684.754522
126,2225,-122.50765,37.754364,621.7228464
127,1594,-122.50763,37.75417,562.3170222
128,1430,-122.50763,37.77905,479.7202797
129,1125,-122.50762,37.75411,804.4444444
130,1289,-122.507614,37.74672,836.5658133
131,1120,-122.507614,37.753788,808.0357143
132,1996.952897,-122.507614,37.77711,529.1395047
133,1475,-122.50761,37.75366,660.5649718
134,1415.339879,-122.50761,37.753853,567.1193742
135,1289,-122.5076,37.746593,836.5658133
136,1280,-122.50759,37.74653,842.4479167
137,800,-122.50758,37.753468,966.6666667
138,1365,-122.50758,37.78073,936.4835165
139,1049,-122.507576,37.753212,813.790912
140,1720,-122.507576,37.753212,586.627907
141,1228,-122.50757,37.753147,722.0412595
142,1750,-122.5075,37.780735,673.3333333
143,1750,-122.5075,37.780735,673.3333333
144,1275,-122.507484,37.779045,777.7777778
145,1052.683672,-122.50747,37.77713,844.1915557
146,1713,-122.50747,37.77713,572.4849192
147,1647,-122.507454,37.751472,497.6725359
148,1000,-122.50744,37.751217,888.3333333
149,1000,-122.50744,37.75128,905
150,1450,-122.50744,37.75128,754.0229885
151,800,-122.50743,37.75128,685.2083333
152,800,-122.50743,37.751347,685.2083333
154,800,-122.50742,37.751217,685.2083333
155,1415.339879,-122.50739,37.750534,678.282308
156,1429,-122.50739,37.776188,512.3629578
157,1415.339879,-122.50739,37.776188,517.3080172
158,995,-122.507385,37.750473,985.9296482
159,1130,-122.50738,37.75041,1003.244838
160,1152,-122.50737,37.750217,984.0856481
161,800,-122.50737,37.75028,654.1666667
162,1148,-122.50737,37.75028,987.514518
163,1275,-122.50736,37.762234,613.0718954
164,1429,-122.50735,37.749897,625.1457896
165,1701,-122.50734,37.749767,430.7270233
166,1192,-122.50734,37.749832,658.557047
167,1085,-122.50733,37.77619,752.9953917
168,1150,-122.507324,37.7498,682.6086957
169,1362,-122.50732,37.758488,497.0141948
170,1130,-122.5073,37.74948,694.6902655
171,1200,-122.50726,37.77527,626.6666667
172,2200,-122.50726,37.77527,563.3030303
173,1517,-122.507256,37.748543,621.8413535
175,1040,-122.50725,37.763763,596.474359
176,1250,-122.50724,37.748512,493.3333333
177,1144,-122.50723,37.748222,576.3403263
178,1965,-122.50723,37.778908,516.5394402
179,1499,-122.507225,37.77881,494.5519235
180,1940,-122.50722,37.748257,610.395189
181,1036,-122.50721,37.748127,575.2895753
182,1608,-122.50721,37.780758,732.7943615
183,2749,-122.50718,37.77714,548.6843701
184,1052.683672,-122.50717,37.74755,522.4741436
185,1052.683672,-122.50717,37.747616,522.4741436
186,1305,-122.50717,37.747616,763.7292465
187,3280,-122.507164,37.778217,617.3780488
189,1186,-122.50715,37.762573,659.0781338
190,1675,-122.50715,37.777756,448.159204
191,830,-122.50715,37.77802,889.5582329
192,1841,-122.50713,37.777756,407.7494116
193,1310,-122.50713,37.777824,691.8575064
194,1750,-122.507126,37.777493,428.952381
195,1415.339879,-122.50712,37.746773,800.749947
196,2000,-122.50712,37.775272,694.6333333
197,1325,-122.50711,37.746708,855.3459119
198,862,-122.50708,37.761482,812.0649652
199,2046,-122.50707,37.761486,463.506028
200,1140,-122.507065,37.77662,716.6666667
201,1140,-122.507065,37.776653,716.6666667
202,1996.952897,-122.507065,37.776653,527.4702949
203,1415.339879,-122.50706,37.745945,672.3944408
204,1415.339879,-122.50705,37.745815,672.3944408
205,1443,-122.50705,37.77667,531.6470316
207,1350,-122.50701,37.776127,542.345679
208,1195,-122.507,37.745167,506.8340307
209,1000,-122.507,37.758503,753.3333333
211,2300,-122.506966,37.74459,443.1884058
212,1325,-122.50695,37.759815,716.9811321
213,1325,-122.50695,37.759815,716.9811321
214,1484,-122.50694,37.744274,578.3917341
215,1415.339879,-122.50694,37.774967,578.8951087
216,2267,-122.506935,37.74421,535.0683723
