,sf,longitude,latitude,mean_hood_ppsf
1109,1465.0,-122.50145,37.773342,1019.3401592718998
1133,1150.0,-122.50129,37.755733,1113.5252173913043
1134,1100.0,-122.501274,37.753143,1151.5151515151515
1135,2020.0,-122.50126999999999,37.781258,849.8349834983499
1142,1050.0,-122.50121999999999,37.754696,1111.6387301587301
1143,1100.0,-122.501205,37.738976,1116.6666666666665
1145,1490.0,-122.501205,37.754253000000006,959.7315436241611
1149,2633.0,-122.50118,37.779284999999994,743.7650335485504
1157,1509.0,-122.501076,37.75265,933.2891539650982
1186,1214.0,-122.50091599999999,37.750403999999996,1135.6397583745195
1196,1214.0,-122.50085,37.745686,1142.22954420648
1197,1214.0,-122.500824,37.748924,1135.6397583745195
1205,1360.0,-122.50076000000001,37.76355,928.9215686274509
1228,2042.0,-122.500626,37.761578,838.5569702905648
1231,1550.0,-122.50062,37.761257,846.236559139785
1234,1225.0,-122.50059499999999,37.760937,945.578231292517
1237,2105.0,-122.50058,37.760937,813.4600158353127
1250,1948.0,-122.50053,37.740078000000004,761.9438740588638
1259,1465.0,-122.500496,37.759518,895.3356086461889
1260,1250.0,-122.500496,37.759583,978.6666666666666
1271,1608.0,-122.50041999999999,37.758644,815.7131011608624
1274,1290.0,-122.50041,37.758358,948.3204134366924
1275,2130.0,-122.50041,37.774174,787.1674491392802
1283,1212.0,-122.50035,37.742172,840.2090209020903
1293,1214.0,-122.50030500000001,37.741524,838.8248215266337
1321,1000.0,-122.5002,37.73995,1186.6666666666667
1323,1025.0,-122.5002,37.755524,1084.5528455284555
1327,1400.0,-122.50016000000001,37.739532000000004,1015.2380952380952
1342,750.0,-122.50001999999999,37.77746,1571.111111111111
1358,2690.0,-122.49989,37.735817,657.992565055762
1360,1167.0,-122.49985500000001,37.75045,1181.376749500143
1376,1137.0,-122.49963000000001,37.747170000000004,1219.5836997947818
1389,1907.0,-122.49956999999999,37.777172,818.9127774864535
1391,2840.0,-122.49956499999999,37.74621,717.1361502347418
1408,1285.0,-122.499466,37.76021,1005.9662775616083
1432,4418.0,-122.49933,37.78135,785.1591972234797
1461,1025.0,-122.499146,37.755573,1071.5447154471544
1472,1236.0,-122.49905,37.754222999999996,1024.9223300970873
1495,1214.0,-122.49876,37.745779999999996,1142.22954420648
1497,1700.0,-122.49873999999998,37.7805,938.2352941176471
1540,905.0,-122.49838999999999,37.745033,1031.3075506445673
1542,1011.0,-122.49837,37.744521999999996,969.3834487306297
1543,2044.0,-122.49837,37.744713,746.0861056751468
1545,1702.0,-122.49835,37.744521999999996,825.4994124559342
1546,1382.0,-122.49835,37.759808,935.3593825373855
1553,1083.652388797364,-122.498314,37.7591,1087.3720627710202
1558,944.0,-122.4983,37.755134999999996,1163.4887005649716
1579,1250.0,-122.498116,37.756523,1058.3333333333335
1597,4465.0,-122.497955,37.78049,776.8943635684957
1599,1515.8214689265537,-122.49795,37.753890000000006,931.2882127644983
1610,1642.0,-122.49784,37.737190000000005,843.483556638246
1611,1410.0,-122.49784,37.752537,1001.1820330969267
1626,1900.0,-122.49774,37.745823,760.5263157894736
1645,1552.0,-122.49755,37.763695,934.2783505154639
1647,1541.0,-122.49753999999999,37.758915,858.8818948734588
1666,1162.0,-122.49738,37.740215,1025.530694205393
1676,1600.0,-122.49732,37.744890000000005,878.125
1691,1300.0,-122.49728,37.744507,1072.3779487179486
1733,2072.0,-122.49701999999999,37.73131,892.6962676962677
1740,1300.0,-122.49695600000001,37.739740000000005,1093.3333333333333
1743,1300.0,-122.49695,37.739677,1093.3333333333333
1747,1943.0,-122.49694,37.75483,765.1398181506262
1751,1462.0,-122.4969,37.738976,990.8800729594163
1769,1430.0,-122.49678999999999,37.75148,912.5874125874126
1770,1250.0,-122.49678999999999,37.752586,1048.0
1783,1012.0,-122.49668999999999,37.73595,1203.8866930171278
1798,1761.0,-122.496574,37.730415,861.2530759038426
1800,1515.8214689265537,-122.49656999999999,37.773872,1072.025982816276
